filename;temperature;adsorptionUnits;pressureUnits;compositionType;num_of_adsorbates;adsorbent_name;adsorbates_name;pressure;adsorbed_amount;composition
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;1.28;0.0388;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;11.2;0.317;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;20.3;0.505;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;30.8;0.693;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;40.8;0.855;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;50.6;1.02;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm3;303;mmol/g;bar;molefraction;1;Zeolite 5A;Hydrogen;61;1.17;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;1.13;1.35;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;10;3.12;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;20.2;3.61;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;30.3;3.84;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;40.4;4.02;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;50.2;4.09;1.0
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm4;303;mmol/g;bar;molefraction;1;Zeolite 5A;Carbon monoxide;60.9;4.15;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.0171192;20.6782;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.0586318;69.2916;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.102329;102.611;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.211573;143.577;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.303338;168.157;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.412581;188.367;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.499976;199.838;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.60485;212.947;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.705355;223.325;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.801489;230.972;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.901993;237.527;1.0
10.1002adem.200500223.isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.998128;242.443;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.0149343;7.56894;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.0608167;29.4177;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.106699;48.5353;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.202833;78.0311;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.307707;100.426;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.403842;116.813;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.506531;130.468;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.60485;141.392;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.700985;152.317;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.801489;160.51;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;0.906363;167.065;1.0
10.1002adem.200500223.isotherm2;87;cm3(STP)/g;bar;molefraction;1;CuBTC;Hydrogen;1.0025;172.527;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;3.18e-07;1.27968;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;6.9e-07;1.06119;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;1.02e-06;3.02758;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;1.35e-06;16.1368;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;1.85e-06;23.5654;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;3.87e-06;33.8343;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;1.08e-05;41.0444;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;2.99e-05;47.162;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;5.63e-05;55.683;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;8.9e-05;68.1368;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.000122;71.8511;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.000222;76.4393;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.000518;81.4645;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.0017752;84.0864;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.00896965;86.7082;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.0181409;86.9267;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.130355;93.4814;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.237208;95.2293;1.0
10.1002adem.200500223.isotherm3;77;% Volume Adsorbed;bar;molefraction;1;CuBTC;Nitrogen;0.904284;99.599;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.0609465;419.304;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.0891099;427.215;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.114692;430.38;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.137718;433.544;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.158179;435.127;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.193997;439.873;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.219563;439.873;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.242589;443.038;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.273268;443.038;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.298843;444.62;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.324417;446.203;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.349983;446.203;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.373001;447.785;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.393462;449.367;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.419029;449.367;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.444603;450.949;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.470169;450.949;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.488074;452.532;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.511084;452.532;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.53665;452.532;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.567338;454.114;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.592904;454.114;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.61847;454.114;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.644037;454.114;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.669603;454.114;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.692629;457.278;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.718187;455.696;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.743753;455.696;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.766771;457.278;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.792337;457.278;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.817912;458.861;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.843478;458.861;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.871609;460.443;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.897175;460.443;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.922742;460.443;1.0
10.1002adem.201000246.Isotherm1;77;cm3(STP)/g;bar;molefraction;1;CuBTC;Nitrogen;0.94576;462.025;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.00927183;313.291;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.0195145;316.456;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.0451051;321.203;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.0630339;327.532;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.0835112;332.278;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.0963187;337.025;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.144919;341.772;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.150032;341.772;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.190954;344.937;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.236982;346.519;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.295809;351.266;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.341836;352.848;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.38275;354.43;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.392985;356.013;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.439004;356.013;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.48758;356.013;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.536173;359.177;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.584757;360.759;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.630776;360.759;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.67936;362.342;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.727936;362.342;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.776528;365.506;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.827661;365.506;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.876253;368.671;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.924821;367.089;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.942726;368.671;1.0
10.1002adem.201000246.Isotherm2;77;cm3(STP)/g;bar;molefraction;1;MOF/PAN;Nitrogen;0.968308;371.835;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;0.310676;0.019531;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;2.12862;1.61819;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;3.82065;2.26167;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;5.82457;2.8857;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;10.3151;3.62699;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;17.9221;4.2517;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;28.966;4.46747;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;45.3008;4.71312;1.0
10.1002adfm.200500561.Isotherm1;77;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;50.1287;4.61624;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;0.310676;0.019531;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;2.30003;1.11139;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;2.60646;1.26737;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;3.06914;1.40388;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;3.83976;1.64764;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;4.14831;1.7354;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;5.07549;1.94994;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;6.31273;2.2035;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;7.55119;2.41807;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;8.47958;2.59363;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;10.9598;2.91557;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;19.3435;3.5891;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;42.2077;4.07922;1.0
10.1002adfm.200500561.Isotherm2;87;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;48.2746;4.17742;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;0.310676;0.019531;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;3.73327;0.068681;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;6.99871;0.166545;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;14.4665;0.26492;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;27.9985;0.54922;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;55.0722;0.80593;1.0
10.1002adfm.200500561.Isotherm3;200;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;61.9192;0.84575;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;0.310676;0.019531;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;5.13617;0.000625751;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;7.93711;0.0204602;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;12.4495;0.0599963;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;17.8969;0.06066;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;30.0339;0.159605;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;44.8187;0.200392;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;58.3573;0.270268;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;66.2941;0.300474;1.0
10.1002adfm.200500561.Isotherm4;298;wt%;bar;molefraction;1;IRMOF-1;Hydrogen;72.9855;0.340276;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;1.69355;2.18875;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;1.97581;2.30136;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;2.25806;2.5025;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;2.82258;2.63919;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;3.3871;2.77588;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;4.375;2.91247;1.0
10.1002adfm.200500561.Isotherm5;77;wt%;bar;molefraction;1;CuBTC;Hydrogen;7.33871;3.17739;1.0
